 
   1000.00000       1.38879436E-10
   1001.00000       1.60522813E-08
   1002.00000       1.12535179E-06
   1003.00000       4.78511720E-05
   1004.00000       1.23409799E-03
   1005.00000       1.93045419E-02
   1006.00000      0.183156401    
   1007.00000       1.05399227    
   1008.00000       3.67879438    
   1009.00000       7.78800774    
   1010.00000       10.0000000    
   1011.00000       9.51229477    
   1012.00000       8.18730736    
   1013.00000       6.37628126    
   1014.00000       4.49328947    
   1015.00000       2.86504793    
   1016.00000       1.65298879    
   1017.00000      0.862935841    
   1018.00000      0.407622010    
   1019.00000      0.174223706    
   1020.00000       6.73794672E-02
